user_id,student_number,first_name,middle_name,last_name,suffix,sex,birthdate,birthplace,civil_status,nationality,religion,phone_number,personal_email,school_email,house_num,street,brgy,city_municipality,province,zipcode,guardian_name,guardian_contact,elementary,elem_yr_grad,jr_highschool,jr_hs_yr_grad,sr_highschool,sr_hs_yr_grad,college,college_year_ended,is_transferee,is_irregular,created_at,updated_at,file_path,
2,1234-5678,Sophia,,Cruz,,,,,,,,,sophia@gmail.com,,,,,,,,,,,,,,,,,,0,0,,,,
3,2345-6789,Liam,,Johnson,,,,,,,,,liam.johnson@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
4,3456-7890,Emma,,Wilson,,,,,,,,,emma.wilson@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
5,4567-8901,Noah,,Robinson,,,,,,,,,noah.robinson@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
6,5678-9012,Olivia,,Jackson,,,,,,,,,olivia.jackson@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
7,6789-0123,Ava,,Harris,,,,,,,,,ava.harris@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
8,7890-1234,Isabella,,Martinez,,,,,,,,,isabella.martinez@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
9,8901-2345,William,,Hernandez,,,,,,,,,william.hernandez@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
10,9012-3456,Sophia,,Brown,,,,,,,,,sophia.brown@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
11,0123-4567,Mia,,Moore,,,,,,,,,mia.moore@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
12,1023-4568,James,,Lee,,,,,,,,,james.lee@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
13,1124-5679,Charlotte,,Turner,,,,,,,,,charlotte.turner@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
14,1225-6780,Amelia,,White,,,,,,,,,amelia.white@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
15,1326-7891,Ethan,,Walker,,,,,,,,,ethan.walker@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
16,1427-8902,Logan,,Phillips,,,,,,,,,logan.phillips@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
17,1528-9013,Alexander,,Hall,,,,,,,,,alexander.hall@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
18,1629-0124,Harper,,Allen,,,,,,,,,harper.allen@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
19,1730-1235,Mason,,Young,,,,,,,,,mason.young@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
20,1831-2346,Ella,,Thompson,,,,,,,,,ella.thompson@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
21,1932-3457,Lucas,,Anderson,,,,,,,,,lucas.anderson@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
22,2033-4568,Hannah,,Baker,,,,,,,,,hannah.baker@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
23,2134-5679,Oliver,,Scott,,,,,,,,,oliver.scott@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
24,2235-6780,Avery,,Campbell,,,,,,,,,avery.campbell@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
25,2336-7891,Gabriel,,Taylor,,,,,,,,,gabriel.taylor@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
26,2437-8902,Julian,,Rivera,,,,,,,,,julian.rivera@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
27,2538-9013,Sofia,,Lopez,,,,,,,,,sofia.lopez@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
28,2639-0124,Brooklyn,,Hughes,,,,,,,,,brooklyn.hughes@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
29,2740-1235,Carter,,Wilson,,,,,,,,,carter.wilson@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
30,2841-2346,Henry,,Morris,,,,,,,,,henry.morris@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
31,2942-3457,Chloe,,Rogers,,,,,,,,,chloe.rogers@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
32,3043-4569,Althea,,Ramos,,,,,,,,,althea.ramos@example.com,,,,,,,,,,,,,,,,,,0,0,,,
33,3144-5670,Bea,,Santos,,,,,,,,,bea.santos@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
34,3245-6781,Cyril,,Garcia,,,,,,,,,cyril.garcia@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
35,3346-7892,Danica,,Reyes,,,,,,,,,danica.reyes@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
36,3447-8903,Elijah,,Cruz,,,,,,,,,elijah.cruz@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
37,3548-9014,Faye,,Del Rosario,,,,,,,,,faye.delrosario@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
38,3649-0125,Gino,,De Guzman,,,,,,,,,gino.deguzman@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
39,3750-1236,Harley,,Quinto,,,,,,,,,harley.quinto@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
40,3851-2347,Ivy,,Sanchez,,,,,,,,,ivy.sanchez@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
41,3952-3458,Jacob,,Ocampo,,,,,,,,,jacob.ocampo@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
42,4053-4560,Kyle,,Mendoza,,,,,,,,,kyle.mendoza@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
43,4154-5671,Lara,,Navarro,,,,,,,,,lara.navarro@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
44,4255-6782,Miguel,,Aquino,,,,,,,,,miguel.aquino@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
45,4356-7893,Nina,,Estrada,,,,,,,,,nina.estrada@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
46,4457-8904,Owen,,Valdez,,,,,,,,,owen.valdez@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
47,4558-9015,Paolo,,Bautista,,,,,,,,,paolo.bautista@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
48,4659-0126,Qiara,,Zamora,,,,,,,,,qiara.zamora@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
49,4760-1237,Rafael,,Enriquez,,,,,,,,,rafael.enriquez@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
50,4861-2348,Sam,,Yu,,,,,,,,,sam.yu@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
51,4962-3459,Tina,,Marasigan,,,,,,,,,tina.marasigan@example.com,,,,,,,,,,,,,,,,,,0,0,,,,
